supplier_id,as_of_time,label_window_end,delivery_delay_rate_30d,defect_rate_90d,cancellation_rate_90d,on_time_delivery_trend_90d,lead_time_variance_days,open_disputes,financial_stability_index,recent_incidents,disruption_next_14d
SUP-00224,2020-03-15,2020-03-29,0.414035,0.084139,0.054096,-0.086306,3.839826,1,0.662302,1,1
SUP-00065,2020-03-23,2020-04-06,0.35575,0.130247,0.103511,-0.244405,10.739702,1,0.176217,3,1
SUP-00284,2020-04-26,2020-05-10,0.140339,0.090508,0.035125,-0.037743,8.665356,0,0.789038,0,0
SUP-00087,2020-04-29,2020-05-13,0.085749,0.020902,0.018039,-0.065822,3.870034,2,0.848742,0,0
SUP-00436,2020-05-20,2020-06-03,0.081436,0.040599,0.009132,-0.003167,6.339225,0,0.540612,2,0
SUP-00254,2020-05-25,2020-06-08,0.292664,0.108092,0.061846,-0.167543,6.941412,2,0.312588,1,1
SUP-00121,2020-09-06,2020-09-20,0.227549,0.010687,0.017614,-0.02559,2.123896,0,0.90308,0,0
SUP-00409,2020-09-13,2020-09-27,0.105106,0.113488,0.073892,0.046902,3.844488,1,0.832369,2,0
SUP-00152,2020-09-26,2020-10-10,0.045394,0.023308,0.011762,-0.057777,4.424247,0,0.70543,1,0
SUP-00453,2020-11-30,2020-12-14,0.159224,0.057676,0.077521,-0.048141,7.384644,0,0.805461,1,0
SUP-00473,2020-12-07,2020-12-21,0.374835,0.099649,0.097842,-0.121662,6.927106,3,0.562591,1,1
SUP-00339,2021-01-10,2021-01-24,0.328894,0.133037,0.050414,-0.063542,7.411202,1,0.681266,0,0
SUP-00273,2021-02-12,2021-02-26,0.213832,0.078637,0.036914,0.007977,6.579979,1,0.665396,1,0
SUP-00102,2021-02-25,2021-03-11,0.093759,0.023351,0.029254,-0.063717,3.954237,0,0.674814,1,0
SUP-00206,2021-02-25,2021-03-11,0.377933,0.084773,0.08665,0.009788,6.390081,2,0.784527,0,1
SUP-00455,2021-04-08,2021-04-22,0.232398,0.058825,0.105358,-0.203962,6.640752,4,0.64303,1,1
SUP-00069,2021-04-09,2021-04-23,0.27688,0.099576,0.056483,-0.144991,10.267824,4,0.499129,1,1
SUP-00210,2021-04-20,2021-05-04,0.438839,0.08414,0.014402,-0.074411,2.478966,0,0.73448,1,0
SUP-00076,2021-04-26,2021-05-10,0.193566,0.044524,0.011164,0.101611,1.167001,0,0.819164,0,0
SUP-00115,2021-05-30,2021-06-13,0.109365,0.119978,0.029705,-0.021191,4.735317,0,0.929319,0,0
SUP-00132,2021-07-13,2021-07-27,0.1056,0.172466,0.055772,-0.10133,2.538664,0,0.731222,1,0
SUP-00218,2021-08-25,2021-09-08,0.156831,0.071244,0.044059,-0.1201,3.23141,0,0.68299,1,0
SUP-00283,2021-08-29,2021-09-12,0.187517,0.046276,0.046444,-0.037809,4.818413,1,0.781881,1,0
SUP-00119,2021-10-27,2021-11-10,0.093577,0.006688,0.080363,0.047591,1.875428,0,0.864473,0,0
SUP-00317,2021-11-30,2021-12-14,0.14823,0.064397,0.02668,-0.072508,4.308161,0,0.803825,0,0
SUP-00117,2021-12-27,2022-01-10,0.060833,0.044453,0.054906,-0.058166,2.209552,0,0.829127,0,0
SUP-00347,2021-12-27,2022-01-10,0.125263,0.056782,0.021393,-0.038945,3.490504,0,0.664908,1,0
SUP-00290,2022-01-02,2022-01-16,0.128762,0.017612,0.051558,0.022541,1.445611,0,0.781418,0,0
SUP-00271,2022-01-13,2022-01-27,0.231776,0.06385,0.104949,-0.072689,5.223245,0,0.732392,0,0
SUP-00287,2022-03-22,2022-04-05,0.242757,0.082558,0.023004,-0.112477,3.243886,0,0.7354,0,0
SUP-00055,2022-04-15,2022-04-29,0.229027,0.049526,0.052507,-0.077132,6.938549,2,0.704551,0,0
SUP-00462,2022-05-02,2022-05-16,0.145285,0.068583,0.071139,-0.059903,5.984257,2,0.694067,6,0
SUP-00366,2022-05-06,2022-05-20,0.098072,0.032051,0.091733,-0.076331,4.269282,0,0.823923,3,0
SUP-00171,2022-06-07,2022-06-21,0.065557,0.023666,0.016173,0.017787,2.540034,0,0.69331,0,0
SUP-00035,2022-08-11,2022-08-25,0.115809,0.070151,0.04368,0.035707,4.316829,2,0.723357,1,0
SUP-00464,2022-08-23,2022-09-06,0.239526,0.03376,0.035425,-0.037728,5.622636,1,0.743987,1,0
SUP-00174,2022-08-25,2022-09-08,0.280268,0.084488,0.020319,0.016282,3.164615,0,0.785873,1,0
SUP-00464,2022-09-09,2022-09-23,0.055698,0.011751,0.007491,0.027297,1.634941,0,0.737167,0,0
SUP-00223,2022-10-19,2022-11-02,0.39449,0.031121,0.060409,-0.053962,5.935617,2,0.69182,1,1
SUP-00104,2022-12-02,2022-12-16,0.397764,0.109398,0.067569,-0.175003,7.974237,1,0.636061,1,1
SUP-00424,2022-12-02,2022-12-16,0.237993,0.149021,0.026905,-0.044938,4.086785,1,0.772526,0,0
SUP-00432,2023-01-18,2023-02-01,0.149449,0.029471,0.017521,0.033519,2.554902,2,0.670082,2,0
SUP-00308,2023-02-19,2023-03-05,0.208994,0.127936,0.071123,-0.089572,5.126525,0,0.759579,1,0
SUP-00428,2023-05-19,2023-06-02,0.453462,0.036768,0.061035,-0.024131,2.320435,0,0.704346,1,0
SUP-00361,2023-06-06,2023-06-20,0.253007,0.088645,0.056972,-0.070032,6.282381,3,0.459393,1,0
SUP-00497,2023-06-06,2023-06-20,0.067321,0.083225,0.004189,0.024731,1.134859,0,0.653551,0,0
SUP-00474,2023-08-21,2023-09-04,0.24824,0.167467,0.068869,-0.084133,6.089045,3,0.222941,2,0
SUP-00439,2023-08-21,2023-09-04,0.047587,0.040898,0.033532,0.023174,1.987291,0,0.79977,0,0
SUP-00449,2023-08-24,2023-09-07,0.347315,0.137614,0.110564,-0.160923,11.998333,1,0.627322,2,1
SUP-00203,2023-10-15,2023-10-29,0.420782,0.026553,0.041621,-0.011192,2.740952,1,0.577269,0,0
SUP-00285,2023-10-30,2023-11-13,0.437522,0.139218,0.096159,-0.188858,8.350724,1,0.580428,3,1
SUP-00471,2023-11-10,2023-11-24,0.295735,0.07391,0.041676,-0.061923,6.10838,5,0.766374,1,0
SUP-00029,2023-11-19,2023-12-03,0.175635,0.147244,0.029701,-0.059895,4.072853,1,0.650736,1,1
SUP-00199,2024-02-13,2024-02-27,0.245733,0.04972,0.082441,-0.090276,7.799335,0,0.785254,1,0
SUP-00314,2024-03-14,2024-03-28,0.287741,0.08266,0.065573,-0.160709,7.026671,1,0.448891,4,1
SUP-00299,2024-04-20,2024-05-04,0.068949,0.022379,0.05845,-0.000849,6.563818,0,0.876661,1,0
SUP-00002,2024-06-06,2024-06-20,0.154115,0.032334,0.028938,-0.003502,3.305318,1,0.581405,1,0
SUP-00353,2024-06-15,2024-06-29,0.094412,0.059777,0.024037,-0.025699,0.449498,1,0.858723,0,0
SUP-00061,2024-07-11,2024-07-25,0.25634,0.014392,0.016562,0.001638,3.978331,0,0.941256,0,0
SUP-00363,2024-07-13,2024-07-27,0.351912,0.032797,0.122632,0.047191,2.346101,0,0.88417,0,0
SUP-00065,2024-08-22,2024-09-05,0.444431,0.066158,0.097861,-0.104204,7.170905,1,0.571047,4,1
SUP-00273,2024-10-04,2024-10-18,0.238726,0.073652,0.027136,0.058869,2.668198,0,0.717837,0,0
SUP-00119,2024-10-11,2024-10-25,0.45678,0.064006,0.045623,-0.069465,4.627508,1,0.647049,2,0
SUP-00194,2024-10-21,2024-11-04,0.129917,0.052339,0.037375,-0.043935,5.178543,1,0.707374,2,0
SUP-00277,2024-12-07,2024-12-21,0.276782,0.036013,0.009668,0.033867,3.809335,0,0.949672,0,0
SUP-00341,2024-12-12,2024-12-26,0.141191,0.037049,0.028988,-0.029361,2.396487,0,0.616121,2,0
SUP-00273,2024-12-16,2024-12-30,0.241925,0.045409,0.010516,-0.0717,1.84277,0,0.681214,2,0
SUP-00382,2025-01-01,2025-01-15,0.339806,0.078578,0.071553,-0.120639,5.66507,1,0.565434,2,1
SUP-00415,2025-07-04,2025-07-18,0.078737,0.022793,0.041573,-0.069606,0.912522,0,0.830352,0,0
SUP-00160,2025-07-07,2025-07-21,0.089694,0.084053,0.044116,-0.041018,5.064516,1,0.722463,3,0
SUP-00265,2025-07-20,2025-08-03,0.327281,0.038528,0.032016,0.011335,1.880471,0,0.813597,3,0
SUP-00500,2025-08-08,2025-08-22,0.048108,0.046029,0.008737,-0.0167,1.132822,0,0.764712,0,0
SUP-00291,2025-08-30,2025-09-13,0.202873,0.034049,0.049572,-0.090162,7.082092,0,0.713084,0,0
SUP-00342,2025-09-09,2025-09-23,0.172207,0.067491,0.03789,0.039822,4.907887,0,0.55487,0,0
SUP-00350,2025-09-16,2025-09-30,0.1747,0.020751,0.057324,-0.064557,2.959214,0,0.626359,0,0
SUP-00225,2025-09-17,2025-10-01,0.172139,0.051426,0.032678,-0.022414,6.584915,0,0.811999,1,0
SUP-00227,2025-09-25,2025-10-09,0.269914,0.102302,0.079232,-0.076099,4.96484,0,0.775566,2,0
SUP-00069,2025-10-03,2025-10-17,0.360989,0.090056,0.061193,-0.176311,6.891862,1,0.614624,2,1
SUP-00451,2025-10-05,2025-10-19,0.218779,0.139003,0.081264,-0.113178,7.140442,2,0.623983,1,1
